Bairro,Cidade,Estado,Valor do Imóvel,Quantidade de Cômodos,Tipo de Imóvel,Vagas de Garagem,Área (m²),Ano de Construção,Valor do Condomínio,Distância do Centro (km),Se tem Elevador,Se tem Piscina,Se está mobiliado,Idade_Imovel(Anos)
Tatuapé,São Paulo,SP,558568.33,3,Apartamento,3,90.7,1992,1401.74,4.1,True,False,True,33
,Rio de Janeiro,RJ,836068.81,2,Apartamento,0,72.9,2019,682.82,9.3,True,True,True,6
Copacabana,Rio de Janeiro,RJ,486999.13,3,Apartamento,2,73.6,1993,1069.52,10.6,True,False,False,32
Ipanema,Rio de Janeiro,RJ,444351.27,4,Apartamento,2,69.8,1978,1136.69,3.8,True,False,True,47
Santana,São Paulo,SP,1072043.4,3,Apartamento,2,99.6,2019,865.21,5.3,True,False,True,6
Ipanema,Rio de Janeiro,RJ,690059.46,4,Casa,3,99.1,1982,,4.7,True,True,True,43
Pampulha,Belo Horizonte,MG,850102.44,3,Casa,0,82.5,2013,,1.7,True,False,True,12
Leblon,Rio de Janeiro,RJ,1108561.52,5,Apartamento,3,109.9,1984,850.01,5.3,True,False,False,41
Pampulha,Belo Horizonte,MG,673028.7,4,Apartamento,2,65.7,1996,354.55,5.6,True,False,False,29
Moema,São Paulo,SP,1273145.95,6,Apartamento,2,124.8,1971,1252.23,4.0,True,False,True,54
,Rio de Janeiro,RJ,903367.86,5,Apartamento,1,93.6,1995,489.83,3.8,True,False,True,30
Vila Mariana,São Paulo,SP,304073.52,2,Casa,2,37.9,1990,,-2.7,True,False,False,35
Copacabana,Rio de Janeiro,RJ,841508.59,4,Apartamento,3,112.7,2007,1266.32,8.3,True,False,False,18
Barro Preto,Belo Horizonte,MG,1217419.25,7,Casa,1,126.7,2008,,8.8,True,True,False,17
Pinheiros,São Paulo,SP,1148146.09,6,Apartamento,3,119.9,2009,856.29,4.2,True,False,False,16
Vila Mariana,São Paulo,SP,445327.88,2,Casa,0,68.6,1990,,2.9,True,True,False,35
Moema,São Paulo,SP,839467.9,2,Apartamento,1,73.5,2014,305.55,7.2,True,True,False,11
Copacabana,Rio de Janeiro,RJ,378119.81,3,Casa,0,58.3,2022,,4.5,True,False,True,3
Pampulha,Belo Horizonte,MG,389916.56,2,Casa,0,44.0,2015,,4.5,True,True,False,10
Buritis,Belo Horizonte,MG,954904.9,6,Casa,,109.4,2007,,4.2,True,False,False,18
Barro Preto,Belo Horizonte,MG,753284.98,3,Apartamento,1,76.1,2004,1395.99,4.3,True,False,False,21
Centro,Belo Horizonte,MG,536566.98,5,Casa,2,80.9,1977,,3.8,True,False,False,48
Copacabana,Rio de Janeiro,RJ,1087033.64,5,Casa,2,105.8,2009,,7.0,True,False,False,16
Centro,Belo Horizonte,MG,539819.93,2,Casa,1,51.2,1980,,0.3,True,False,False,45
Santana,São Paulo,SP,867355.78,5,Casa,1,91.8,2021,,10.1,True,False,False,4
Vila Mariana,São Paulo,SP,580920.32,2,Apartamento,1,56.9,1991,767.13,4.1,True,False,True,34
Tatuapé,São Paulo,SP,516516.6,2,Apartamento,0,65.3,2001,1176.33,8.6,True,False,True,24
Botafogo,Rio de Janeiro,RJ,734028.33,4,Casa,0,88.7,1994,,4.7,True,False,False,31
Pinheiros,São Paulo,SP,887030.24,3,Casa,2,84.7,2020,,6.8,True,False,True,5
Ipanema,Rio de Janeiro,RJ,450718.33,2,Apartamento,0,61.1,1987,1277.63,5.8,True,False,True,38
Pampulha,Belo Horizonte,MG,207367.02,2,Casa,1,31.5,2008,,8.0,True,False,False,17
Pampulha,Belo Horizonte,MG,747555.54,5,Casa,0,87.8,1971,,-0.5,True,False,False,54
Barro Preto,Belo Horizonte,MG,1281143.89,6,Apartamento,2,111.6,1995,485.31,4.2,True,True,False,30
Buritis,Belo Horizonte,MG,818212.03,5,Casa,0,87.6,1975,,6.0,True,False,False,50
Savassi,Belo Horizonte,MG,492243.34,4,Apartamento,2,68.4,2013,1430.14,5.5,True,False,False,12
Savassi,Belo Horizonte,MG,316682.78,2,Apartamento,2,35.7,1992,965.01,8.1,True,True,False,33
Moema,São Paulo,SP,681422.92,3,Casa,0,60.3,2018,,0.7,True,False,False,7
Tatuapé,São Paulo,SP,842495.89,4,Apartamento,1,117.7,2000,569.43,5.7,True,False,False,25
Copacabana,Rio de Janeiro,RJ,707876.71,5,Casa,2,82.6,2000,,6.7,True,False,False,25
Pinheiros,São Paulo,SP,1043465.53,5,Apartamento,3,103.3,1981,1350.31,0.6,True,False,False,44
Savassi,Belo Horizonte,MG,611427.58,2,Casa,1,73.4,2021,,2.6,True,False,False,4
Pinheiros,São Paulo,SP,355864.13,2,Apartamento,0,48.0,1989,670.99,-0.2,True,False,True,36
Pampulha,Belo Horizonte,MG,884433.72,4,Casa,1,77.5,1998,,2.3,True,True,True,27
Pampulha,Belo Horizonte,MG,463266.09,4,Casa,1,68.4,1994,,5.7,True,False,True,31
Barro Preto,Belo Horizonte,MG,470069.72,5,Apartamento,0,81.2,1984,1101.33,4.9,True,False,False,41
Vila Mariana,São Paulo,SP,693047.53,4,Casa,2,106.6,1977,,7.6,True,True,False,48
Vila Mariana,São Paulo,SP,767141.02,3,Casa,1,83.6,1994,,4.9,True,False,True,31
Pinheiros,São Paulo,SP,465097.34,2,Casa,1,55.6,1994,,5.5,True,False,True,31
Buritis,Belo Horizonte,MG,1137267.58,4,Casa,2,94.6,1994,,1.1,True,True,False,31
Santana,São Paulo,SP,886182.53,5,Casa,0,82.0,2008,,3.8,True,False,False,17
Tijuca,Rio de Janeiro,RJ,687744.0,5,Apartamento,3,120.0,1988,752.47,5.0,True,False,False,37
Pampulha,Belo Horizonte,MG,626449.03,4,Casa,0,82.7,1994,,6.3,True,False,False,31
Pinheiros,São Paulo,SP,694023.17,4,Apartamento,0,67.7,1971,1244.96,7.5,True,True,False,54
Copacabana,Rio de Janeiro,RJ,621710.9,3,Apartamento,2,70.9,2010,1085.22,8.8,True,False,True,15
Moema,São Paulo,SP,1172246.65,5,Apartamento,3,107.7,1973,828.65,4.0,True,False,True,52
Santana,São Paulo,SP,684027.99,3,Apartamento,1,71.4,2010,547.56,5.8,True,True,False,15
Leblon,Rio de Janeiro,RJ,891012.9,7,Casa,3,137.1,2003,,2.5,True,False,True,22
Copacabana,Rio de Janeiro,RJ,1040108.46,4,Casa,1,94.6,1992,,5.9,True,False,True,33
Moema,São Paulo,SP,1100188.1,5,Apartamento,2,,1979,1361.56,10.4,True,False,True,46
Pampulha,Belo Horizonte,MG,552114.15,5,Apartamento,2,84.1,2001,1106.55,4.2,True,False,False,24
Santana,São Paulo,SP,516457.76,2,Casa,0,72.8,1990,,5.1,True,False,False,35
Barro Preto,Belo Horizonte,MG,601120.4,4,Casa,0,61.6,2022,,4.6,True,True,False,3
Ipanema,Rio de Janeiro,RJ,630417.67,5,Casa,3,94.2,1995,,6.6,True,True,True,30
Centro,Belo Horizonte,MG,792798.45,4,Casa,1,86.5,1990,,7.9,True,False,True,35
Santana,São Paulo,SP,601342.47,2,Casa,2,73.7,1985,,3.3,True,False,True,40
Buritis,Belo Horizonte,MG,575790.79,2,Casa,1,49.8,2022,,4.8,True,True,False,3
Moema,São Paulo,SP,438972.48,2,Apartamento,1,57.5,1978,627.44,6.8,True,False,False,47
Santana,São Paulo,SP,299074.16,2,Apartamento,2,38.5,2013,1199.34,3.0,True,False,False,12
Ipanema,Rio de Janeiro,RJ,613840.62,4,Casa,2,87.4,2000,,2.3,True,False,False,25
Vila Mariana,São Paulo,SP,755330.94,2,Casa,1,75.6,2018,,2.5,True,False,False,7
Savassi,Belo Horizonte,MG,435590.62,2,Apartamento,0,68.1,1972,1145.49,4.4,True,False,True,53
Moema,São Paulo,SP,625846.66,3,Casa,1,79.8,2005,,6.0,True,False,True,20
Botafogo,Rio de Janeiro,RJ,337036.7,3,Casa,1,50.0,1974,,6.9,True,True,False,51
Centro,Belo Horizonte,MG,734569.88,4,Apartamento,2,73.4,2000,1124.01,5.8,True,False,False,25
Tijuca,Rio de Janeiro,RJ,1129531.63,7,Casa,2,122.0,2003,,5.8,True,True,False,22
Leblon,Rio de Janeiro,RJ,704734.69,4,Apartamento,0,,1980,1395.29,6.7,True,False,False,45
Centro,Belo Horizonte,MG,438863.77,4,Apartamento,1,69.2,2021,1114.46,7.4,True,False,True,4
Pampulha,Belo Horizonte,MG,710818.29,4,Apartamento,1,81.9,2020,442.26,6.7,True,False,True,5
Botafogo,Rio de Janeiro,RJ,679240.46,3,Casa,0,67.7,1987,,8.4,True,True,True,38
Centro,Belo Horizonte,MG,728349.15,3,Apartamento,1,75.6,1985,448.98,5.7,True,False,True,40
Pinheiros,São Paulo,SP,432964.11,4,Casa,2,71.0,1997,,5.8,True,False,True,28
Tatuapé,São Paulo,SP,294697.02,2,Casa,0,43.6,2021,,3.4,True,False,True,4
Tijuca,Rio de Janeiro,RJ,1011043.63,6,Apartamento,1,140.6,2009,1462.74,4.7,True,False,False,16
Tijuca,Rio de Janeiro,RJ,1023422.4,4,Apartamento,2,100.0,2007,971.92,-0.4,True,False,False,18
Savassi,Belo Horizonte,MG,1031687.98,5,Casa,3,109.5,1988,,3.3,True,True,False,37
Barro Preto,Belo Horizonte,MG,724395.49,7,Apartamento,1,125.6,1972,869.54,4.0,True,False,False,53
Centro,Belo Horizonte,MG,577226.26,3,Apartamento,1,71.3,2022,1270.91,-1.0,True,False,False,3
Vila Mariana,São Paulo,SP,535478.46,3,Apartamento,2,75.5,2000,434.85,5.7,True,False,False,25
Barro Preto,Belo Horizonte,MG,275882.85,2,Casa,2,41.0,1992,,7.5,True,True,False,33
Pampulha,Belo Horizonte,MG,494670.62,4,Casa,0,60.2,1994,,4.0,True,True,False,31
Botafogo,Rio de Janeiro,RJ,240375.64,2,Casa,2,40.3,2023,,9.6,True,False,False,2
Tijuca,Rio de Janeiro,RJ,975023.85,3,Apartamento,,,1979,1241.32,-0.3,True,False,False,46
Centro,Belo Horizonte,MG,469404.77,3,Apartamento,1,54.7,1993,871.5,4.5,True,False,True,32
Centro,Belo Horizonte,MG,835616.66,6,Apartamento,2,108.5,2001,1282.31,7.6,True,False,False,24
Ipanema,Rio de Janeiro,RJ,628681.77,2,Apartamento,2,64.6,1990,668.11,5.2,True,True,False,35
Pinheiros,São Paulo,SP,363039.89,3,Casa,1,52.1,1999,,3.2,True,True,False,26
Savassi,Belo Horizonte,MG,510609.01,3,Apartamento,2,63.7,1971,1032.25,7.9,True,False,False,54
Moema,São Paulo,SP,856365.12,5,Casa,1,102.8,2020,,3.2,True,False,False,5
Copacabana,Rio de Janeiro,RJ,891843.94,5,Casa,3,97.9,1979,,0.1,True,False,False,46
Vila Mariana,São Paulo,SP,285596.96,2,Casa,1,31.5,1996,,8.5,True,True,False,29
Tijuca,Rio de Janeiro,RJ,990815.95,5,Casa,2,92.8,2005,,2.9,True,False,True,20
Leblon,Rio de Janeiro,RJ,724404.99,4,Casa,3,109.3,1989,,5.2,True,False,True,36
Santana,São Paulo,SP,1132373.2,6,Apartamento,3,129.3,2005,1433.61,6.4,True,True,False,20
Centro,Belo Horizonte,MG,526134.88,2,Casa,2,61.4,1974,,5.1,True,False,True,51
Pinheiros,São Paulo,SP,674811.28,3,Casa,2,82.3,1984,,1.7,True,False,False,41
Tijuca,Rio de Janeiro,RJ,666604.39,4,Casa,0,71.4,1989,,2.3,True,False,True,36
Copacabana,Rio de Janeiro,RJ,363992.8,2,Casa,1,61.9,1974,,2.7,True,False,False,51
Savassi,Belo Horizonte,MG,630623.78,4,Apartamento,3,90.3,1999,1048.84,4.7,True,True,False,26
Ipanema,Rio de Janeiro,RJ,598685.13,2,Casa,2,70.9,2009,,0.1,True,False,False,16
Santana,São Paulo,SP,290475.19,3,Apartamento,0,53.0,1988,661.41,9.6,True,False,False,37
Buritis,Belo Horizonte,MG,787179.07,5,Apartamento,1,92.1,2013,811.75,7.1,True,False,True,12
Vila Mariana,São Paulo,SP,649464.37,3,Casa,0,79.0,2005,,6.1,True,True,False,20
Tijuca,Rio de Janeiro,RJ,608318.62,3,Apartamento,2,73.7,2011,979.69,1.7,True,False,True,14
Vila Mariana,São Paulo,SP,514449.88,4,Apartamento,2,86.2,2020,1100.55,7.9,True,False,False,5
Leblon,Rio de Janeiro,RJ,732217.2,4,Casa,2,110.5,2011,,12.5,True,False,True,14
Santana,São Paulo,SP,193281.98,2,Casa,1,29.0,1999,,3.7,True,True,False,26
Copacabana,Rio de Janeiro,RJ,935028.77,3,Casa,2,73.9,2006,,2.1,True,True,False,19
Centro,Belo Horizonte,MG,380658.62,3,Casa,0,67.0,2017,,3.4,True,False,False,8
Buritis,Belo Horizonte,MG,501260.06,3,Apartamento,1,78.9,2023,1458.93,6.3,True,False,False,2
Tatuapé,São Paulo,SP,1285552.62,5,Casa,3,103.8,1992,,2.5,True,True,True,33
Pinheiros,São Paulo,SP,585110.58,3,Casa,2,54.5,1980,,2.9,True,False,False,45
Moema,São Paulo,SP,631107.76,2,Casa,1,64.4,1981,,8.5,True,False,False,44
Savassi,Belo Horizonte,MG,1103629.87,5,Apartamento,1,94.9,2021,864.3,3.3,True,True,False,4
Vila Mariana,São Paulo,SP,613975.56,2,Casa,,69.6,1989,,-1.1,True,False,True,36
Centro,Belo Horizonte,MG,993453.28,3,Casa,3,95.7,1972,,-5.2,True,False,False,53
Santana,São Paulo,SP,1000379.72,3,Casa,1,93.2,1995,,9.2,True,True,False,30
Tatuapé,São Paulo,SP,797508.97,3,Apartamento,2,76.1,1991,618.5,5.5,True,False,False,34
Vila Mariana,São Paulo,SP,850575.36,4,Apartamento,0,72.5,1973,867.85,4.8,True,True,True,52
Ipanema,Rio de Janeiro,RJ,755985.42,4,Casa,3,106.1,1970,,1.7,True,False,False,55
Pinheiros,São Paulo,SP,271680.54,2,Casa,1,30.4,2023,,-0.5,True,False,True,2
Moema,São Paulo,SP,535480.68,4,Casa,2,61.8,2009,,8.6,True,True,False,16
Ipanema,Rio de Janeiro,RJ,251953.66,2,Casa,2,39.9,1990,,5.1,True,False,True,35
Ipanema,Rio de Janeiro,RJ,404205.94,4,Apartamento,1,60.5,2006,336.98,4.4,True,False,True,19
Pinheiros,São Paulo,SP,1215295.01,4,Casa,2,101.2,1982,,2.3,True,False,True,43
Tatuapé,São Paulo,SP,479348.28,2,Casa,0,78.8,1998,,9.5,True,False,False,27
Moema,São Paulo,SP,468669.72,4,Casa,0,68.2,1987,,0.4,True,False,True,38
Moema,São Paulo,SP,1470494.39,7,Apartamento,2,131.0,1978,302.58,-0.4,True,True,False,47
Ipanema,Rio de Janeiro,RJ,933297.08,4,Casa,0,79.3,1993,,-0.3,True,False,False,32
Centro,Belo Horizonte,MG,850163.54,5,Casa,0,84.1,1991,,1.4,True,True,False,34
Centro,Belo Horizonte,MG,698982.93,4,Casa,1,81.3,2002,,5.6,True,True,False,23
Centro,Belo Horizonte,MG,557217.81,2,Casa,2,50.5,2023,,0.4,True,False,False,2
Barro Preto,Belo Horizonte,MG,1101833.78,8,Apartamento,3,143.2,2003,490.56,10.2,True,False,True,22
Buritis,Belo Horizonte,MG,697291.18,4,Apartamento,2,90.3,2011,421.87,7.0,True,False,False,14
Vila Mariana,São Paulo,SP,408086.19,4,Casa,0,65.4,1970,,7.5,True,False,False,55
Barro Preto,Belo Horizonte,MG,756347.09,4,Casa,2,72.6,1975,,6.2,True,True,True,50
Copacabana,Rio de Janeiro,RJ,543507.3,4,Casa,2,74.5,2011,,3.5,True,True,True,14
Moema,São Paulo,SP,929458.76,5,Casa,3,117.0,2001,,4.6,True,False,False,24
Barro Preto,Belo Horizonte,MG,572317.04,4,Apartamento,2,89.7,2022,906.97,1.4,True,False,True,3
Centro,Belo Horizonte,MG,588409.05,2,Casa,1,59.7,1979,,1.7,True,False,False,46
Pampulha,Belo Horizonte,MG,494566.59,3,Casa,0,71.2,2015,,3.0,True,True,False,10
Vila Mariana,São Paulo,SP,853348.38,6,Apartamento,1,115.4,2014,1263.2,2.9,True,False,False,11
Vila Mariana,São Paulo,SP,505541.89,3,Casa,2,61.0,1975,,1.1,True,False,False,50
Leblon,Rio de Janeiro,RJ,840981.23,5,Casa,1,85.3,1990,,2.5,True,False,False,35
Centro,Belo Horizonte,MG,1171323.14,4,Apartamento,2,98.9,2017,824.08,0.3,True,False,False,8
,Rio de Janeiro,RJ,626386.35,4,Apartamento,1,83.3,2016,861.79,12.6,True,False,False,9
Vila Mariana,São Paulo,SP,507481.2,2,Apartamento,1,57.5,1970,1120.77,6.8,True,False,False,55
Centro,Belo Horizonte,MG,596648.37,3,Casa,1,55.1,2001,,0.4,True,False,True,24
Buritis,Belo Horizonte,MG,645426.52,4,Casa,2,97.7,2009,,9.6,True,False,False,16
Tijuca,Rio de Janeiro,RJ,706438.22,3,Casa,1,84.3,2019,,1.7,True,False,False,6
Tatuapé,São Paulo,SP,367174.27,2,Casa,0,70.1,1990,,7.2,True,False,False,35
Barro Preto,Belo Horizonte,MG,791742.47,5,Casa,1,85.2,1972,,6.1,True,False,False,53
Vila Mariana,São Paulo,SP,900421.06,3,Casa,1,90.4,2006,,6.9,True,False,False,19
Barro Preto,Belo Horizonte,MG,758972.09,5,Casa,3,110.3,1984,,6.2,True,False,False,41
Moema,São Paulo,SP,317682.57,2,Apartamento,1,44.3,1983,527.0,3.8,True,False,False,42
Copacabana,Rio de Janeiro,RJ,807159.12,6,Apartamento,2,106.4,2016,553.73,8.4,True,False,True,9
Savassi,Belo Horizonte,MG,543178.55,2,Casa,2,46.6,2023,,3.8,True,True,False,2
Ipanema,Rio de Janeiro,RJ,429918.03,3,Casa,0,62.4,1989,,3.4,True,False,True,36
Tijuca,Rio de Janeiro,RJ,885560.9,5,Apartamento,,89.8,1975,1195.35,8.6,True,False,False,50
Barro Preto,Belo Horizonte,MG,459346.86,2,Casa,0,50.1,2000,,8.1,True,False,True,25
Tijuca,Rio de Janeiro,RJ,1102671.36,4,Apartamento,2,108.0,1989,614.24,12.7,True,True,True,36
Savassi,Belo Horizonte,MG,653551.62,5,Apartamento,3,97.9,1980,1131.34,12.1,True,False,False,45
Centro,Belo Horizonte,MG,984463.71,6,Casa,2,105.8,2010,,7.5,True,False,False,15
Botafogo,Rio de Janeiro,RJ,600825.94,2,Apartamento,1,57.2,1988,778.55,7.6,True,True,True,37
Pinheiros,São Paulo,SP,712814.47,2,Apartamento,0,73.5,2021,490.05,5.7,True,False,False,4
Savassi,Belo Horizonte,MG,749504.56,3,Casa,2,92.5,2019,,7.3,True,False,False,6
Savassi,Belo Horizonte,MG,672319.07,5,Apartamento,0,81.9,1989,736.08,5.3,True,False,True,36
Vila Mariana,São Paulo,SP,155930.3,2,Casa,0,21.7,2000,,2.8,True,False,False,25
Pinheiros,São Paulo,SP,1119505.95,4,Apartamento,3,114.8,1995,953.02,4.4,True,False,True,30
Pampulha,Belo Horizonte,MG,714183.7,4,Casa,3,104.6,2016,,-2.2,True,False,False,9
Tijuca,Rio de Janeiro,RJ,916957.8,6,Apartamento,1,107.7,2012,308.97,5.0,True,True,False,13
Buritis,Belo Horizonte,MG,865678.18,2,Casa,1,79.6,1972,,5.3,True,True,False,53
Buritis,Belo Horizonte,MG,610798.32,3,Apartamento,0,83.6,1975,950.58,9.0,True,False,False,50
Santana,São Paulo,SP,672433.99,4,Casa,3,107.1,2000,,5.3,True,False,False,25
Savassi,Belo Horizonte,MG,448220.98,3,Apartamento,0,61.4,1987,1098.37,7.2,True,True,False,38
Buritis,Belo Horizonte,MG,733011.68,3,Casa,1,83.3,2004,,3.5,True,False,False,21
Buritis,Belo Horizonte,MG,619674.11,5,Apartamento,3,96.8,2013,713.7,5.6,True,False,False,12
Moema,São Paulo,SP,425596.49,3,Apartamento,2,70.2,2010,622.82,7.1,True,False,False,15
Ipanema,Rio de Janeiro,RJ,687085.82,4,Apartamento,2,69.4,1990,454.75,-2.6,True,False,False,35
Buritis,Belo Horizonte,MG,398042.57,2,Apartamento,0,60.5,1983,1234.16,-0.4,True,False,False,42
Barro Preto,Belo Horizonte,MG,693860.45,5,Apartamento,1,107.9,2009,1184.66,5.7,True,False,False,16
Centro,Belo Horizonte,MG,1072697.27,6,Apartamento,1,101.5,1970,1200.16,3.1,True,False,False,55
Copacabana,Rio de Janeiro,RJ,628651.61,3,Apartamento,2,56.8,2014,692.55,1.9,True,False,False,11
Pampulha,Belo Horizonte,MG,99361.55,2,Casa,1,13.8,1987,,3.6,True,True,False,38
Botafogo,Rio de Janeiro,RJ,717334.3,4,Casa,3,92.0,1987,,3.4,True,False,False,38
Moema,São Paulo,SP,481255.45,2,Casa,2,68.8,1989,,3.7,True,False,True,36
Santana,São Paulo,SP,1148902.11,4,Casa,2,118.2,1981,,6.7,True,False,False,44
Botafogo,Rio de Janeiro,RJ,134799.78,2,Casa,0,13.7,1992,,3.5,True,False,False,33
Santana,São Paulo,SP,971616.36,5,Apartamento,2,115.9,1997,477.56,2.6,True,True,True,28
Copacabana,Rio de Janeiro,RJ,640250.96,2,Apartamento,2,78.3,1978,1252.5,3.2,True,False,False,47
Centro,Belo Horizonte,MG,434600.75,3,Apartamento,,,2014,894.99,7.8,True,False,False,11
Barro Preto,Belo Horizonte,MG,482217.84,4,Casa,0,67.6,1981,,5.0,True,False,False,44
Barro Preto,Belo Horizonte,MG,782642.78,4,Apartamento,3,105.6,2006,1006.71,5.7,True,False,False,19
Ipanema,Rio de Janeiro,RJ,929180.44,7,Apartamento,2,138.1,2009,311.8,3.7,True,False,False,16
Ipanema,Rio de Janeiro,RJ,766397.35,4,Apartamento,2,96.6,2007,901.72,4.3,True,False,True,18
Centro,Belo Horizonte,MG,787372.37,4,Apartamento,3,96.2,1973,412.15,12.8,True,False,False,52
Botafogo,Rio de Janeiro,RJ,507296.4,6,Apartamento,1,104.9,2007,747.5,9.7,True,False,False,18
Ipanema,Rio de Janeiro,RJ,242521.13,2,Casa,0,46.1,1977,,9.7,True,False,False,48
Buritis,Belo Horizonte,MG,618695.35,2,Casa,2,77.4,2006,,3.4,True,False,True,19
Copacabana,Rio de Janeiro,RJ,650440.79,4,Casa,2,91.4,2017,,2.7,True,False,True,8
Pampulha,Belo Horizonte,MG,717885.64,5,Apartamento,0,88.7,2008,525.19,8.9,True,False,False,17
Centro,Belo Horizonte,MG,1138440.72,3,Casa,3,94.2,1974,,1.2,True,True,True,51
Buritis,Belo Horizonte,MG,547740.82,4,Apartamento,1,72.1,1995,1397.49,8.0,True,False,False,30
Ipanema,Rio de Janeiro,RJ,640305.97,5,Apartamento,2,89.6,2011,344.3,7.3,True,False,False,14
Tijuca,Rio de Janeiro,RJ,358631.18,2,Apartamento,0,36.6,2013,825.99,8.3,True,False,False,12
Ipanema,Rio de Janeiro,RJ,361098.05,3,Apartamento,,69.4,2012,1014.59,8.1,True,False,False,13
Pinheiros,São Paulo,SP,668351.52,3,Apartamento,2,75.7,1980,1437.98,7.5,True,False,False,45
,Belo Horizonte,MG,609021.94,2,Casa,0,48.7,2005,,2.9,True,True,True,20
Santana,São Paulo,SP,479784.84,2,Casa,2,49.3,2014,,4.6,True,False,False,11
Tijuca,Rio de Janeiro,RJ,594233.74,2,Apartamento,1,67.2,1998,758.58,-2.2,True,True,True,27
Moema,São Paulo,SP,617695.56,5,Apartamento,3,97.6,2015,1421.91,5.1,True,False,True,10
Ipanema,Rio de Janeiro,RJ,554103.1,4,Casa,2,62.2,2005,,8.7,True,False,False,20
Leblon,Rio de Janeiro,RJ,858753.9,3,Casa,1,94.9,1978,,0.5,True,False,True,47
Pampulha,Belo Horizonte,MG,713808.26,3,Apartamento,2,76.4,1992,594.94,1.5,True,False,False,33
Botafogo,Rio de Janeiro,RJ,1098157.03,4,Casa,1,97.9,1976,,2.9,True,True,False,49
Pinheiros,São Paulo,SP,1006422.89,4,Apartamento,1,99.2,2013,774.55,8.8,True,False,True,12
Buritis,Belo Horizonte,MG,636104.96,4,Apartamento,1,80.0,2000,926.23,2.8,True,False,False,25
Vila Mariana,São Paulo,SP,486302.21,2,Casa,0,64.0,1995,,6.6,True,False,False,30
Santana,São Paulo,SP,687076.19,2,Casa,,70.8,2021,,7.7,True,False,False,4
Barro Preto,Belo Horizonte,MG,412949.25,4,Apartamento,0,64.5,2004,1374.98,2.1,True,False,False,21
Vila Mariana,São Paulo,SP,391623.38,3,Apartamento,2,49.7,1975,550.99,8.6,True,True,True,50
Copacabana,Rio de Janeiro,RJ,687299.15,3,Casa,1,82.3,1972,,6.4,True,False,False,53
Pinheiros,São Paulo,SP,662816.21,3,Casa,2,90.5,1974,,7.2,True,False,False,51
Ipanema,Rio de Janeiro,RJ,941839.48,5,Apartamento,1,107.3,2008,1402.84,8.6,True,False,False,17
Pinheiros,São Paulo,SP,900438.4,4,Apartamento,0,89.9,1979,522.32,5.0,True,True,False,46
Botafogo,Rio de Janeiro,RJ,379717.29,2,Casa,1,69.3,2019,,5.3,True,False,False,6
Copacabana,Rio de Janeiro,RJ,1038102.27,6,Apartamento,2,100.4,2015,1476.07,-2.3,True,False,True,10
Centro,Belo Horizonte,MG,704067.14,3,Apartamento,1,68.3,1994,1179.13,7.5,True,True,False,31
Savassi,Belo Horizonte,MG,603741.68,3,Apartamento,0,59.9,1972,1360.09,8.0,True,False,False,53
Ipanema,Rio de Janeiro,RJ,409983.44,2,Casa,1,65.4,2000,,3.0,True,False,False,25
Vila Mariana,São Paulo,SP,634113.39,4,Casa,1,70.7,2000,,-1.1,True,False,False,25
Ipanema,Rio de Janeiro,RJ,395312.4,2,Apartamento,1,66.4,1978,1076.85,5.0,True,False,False,47
Santana,São Paulo,SP,701973.52,4,Casa,2,84.3,1997,,6.3,True,False,True,28
Savassi,Belo Horizonte,MG,397892.18,3,Apartamento,2,57.5,1991,539.45,11.9,True,False,True,34
Barro Preto,Belo Horizonte,MG,855725.74,5,Casa,,98.6,2009,,3.5,True,False,False,16
Ipanema,Rio de Janeiro,RJ,400235.9,3,Casa,2,67.7,1995,,4.7,True,False,True,30
Buritis,Belo Horizonte,MG,816053.9,3,Casa,1,97.7,1976,,8.0,True,False,True,49
Pampulha,Belo Horizonte,MG,643613.16,5,Apartamento,2,86.0,2011,666.05,3.9,True,False,False,14
Pampulha,Belo Horizonte,MG,590234.02,3,Apartamento,0,85.9,2000,468.04,3.2,True,False,False,25
Santana,São Paulo,SP,212961.76,2,Casa,0,21.0,1980,,4.2,True,False,False,45
Buritis,Belo Horizonte,MG,494489.34,4,Casa,1,82.3,1986,,6.6,True,True,False,39
Pinheiros,São Paulo,SP,795462.72,3,Apartamento,1,80.0,2000,441.9,4.3,True,True,False,25
Barro Preto,Belo Horizonte,MG,584385.47,3,Casa,0,78.2,2012,,6.6,True,True,False,13
Vila Mariana,São Paulo,SP,407911.68,3,Casa,2,52.8,2017,,5.0,True,False,False,8
Barro Preto,Belo Horizonte,MG,627660.25,4,Apartamento,1,62.8,1998,310.62,4.3,True,False,False,27
,São Paulo,SP,338342.75,3,Apartamento,1,57.3,1978,1017.08,7.0,True,False,False,47
Tatuapé,São Paulo,SP,720094.09,6,Casa,1,101.3,1985,,7.1,True,False,False,40
Pampulha,Belo Horizonte,MG,509965.79,5,Casa,2,82.1,1970,,5.3,True,False,True,55
Santana,São Paulo,SP,384890.62,2,Apartamento,1,43.9,1988,933.88,3.9,True,False,True,37
Botafogo,Rio de Janeiro,RJ,588623.97,4,Casa,1,70.6,2022,,6.1,True,True,False,3
Savassi,Belo Horizonte,MG,868069.53,6,Apartamento,3,109.4,1973,1317.08,11.1,True,False,False,52
Leblon,Rio de Janeiro,RJ,816824.03,4,Casa,1,119.9,2013,,5.4,True,False,True,12
Moema,São Paulo,SP,443664.0,4,Apartamento,2,60.0,1998,338.31,11.0,True,False,False,27
